CODE_ARTICLE;DESIGNATION;PV_TTC
2966;PISTACHE AL BARAKA;5,8
3972;NOIX DECORTIQUEES VIPA;6,8
3819;NIC NOC 125GR;10,5
2965;LOUZ MALAH AL BARAKA;6,4
2964;LOUZ HLOU AL BARAKA;6,4
1064;HUILE VEGETALE 0.9L SAFI CHEF;5,5
2963;GLOUB NOIR EL BARAKA;1,9
4423;AMANDES GRILLEES SALEES VIPA 70G;6,3
2967;AKAJOU AL BARAKA;6,8
