4341;NESPRESSO VOLLUTO;25;20
4034;NESPRESSO ARPGGIO;23,5;75%
2966;PISTACHE AL BARAKA;5,8;25%
3972;NOIX DECORTIQUEES VIPA;6,8;5
3819;NIC NOC 125GR;10,5;8,5
